Role,Skill
AI Engineer,Python
AI Engineer,Machine Learning
AI Engineer,Deep Learning
AI Engineer,TensorFlow
AI Engineer,Keras
AI Engineer,PyTorch
AI Engineer,OpenCV
AI Engineer,NLP
AI Engineer,Git
AI Engineer,GitHub
AI Engineer,Flask
AI Engineer,Django
AI Engineer,SQL
AI Engineer,Pandas
AI Engineer,NumPy
AI Engineer,Matplotlib
AI Engineer,Scikit-learn
AI Engineer,Statistics
AI Engineer,CNN
AI Engineer,RNN
AI Engineer,LLM
AI Engineer,Generative AI
AI Engineer,Docker
AI Engineer,AWS
Data Analyst,Excel
Data Analyst,Power BI
Data Analyst,Tableau
Data Analyst,SQL
Data Analyst,Python
Data Analyst,Pandas
Data Analyst,Statistics
Web Developer,HTML
Web Developer,CSS
Web Developer,JavaScript
Web Developer,Bootstrap
Web Developer,React
Web Developer,Node.js
Web Developer,Flask
Web Developer,Gits
